"","nsum","nGene"
"1",12457,346
"2",11421,405
"3",10562,352
"4",13209,1068
"5",10842,595
"6",10619,410
"7",10652,428
"8",10607,352
"9",11351,620
"10",10450,459
"11",10123,423
"12",9704,370
"13",9885,402
"14",9623,331
"15",9039,330
"16",8588,446
"17",10037,769
"18",9022,373
"19",8758,309
"20",8649,429
"21",8331,406
"22",8321,318
"23",8614,576
"24",8741,452
"25",8204,507
"26",7834,438
"27",8158,403
"28",7994,649
"29",7782,505
"30",7600,425
"31",7257,458
"32",7641,527
"33",8006,552
"34",6907,316
"35",6857,355
"36",6980,504
"37",6622,435
"38",6477,443
"39",6311,355
"40",8918,1370
"41",6548,453
"42",6594,481
"43",7904,942
"44",6679,614
"45",5796,327
"46",5818,475
"47",6079,615
"48",5421,317
"49",5149,309
"50",5913,551
"51",5870,581
"52",5001,452
"53",5371,574
"54",4563,423
"55",4491,332
"56",4695,426
"57",4746,567
"58",4646,556
"59",5040,671
"60",3972,304
"61",3940,395
"62",4117,378
"63",8135,2062
"64",9425,2474
"65",4760,728
"66",9773,2498
"67",7206,1733
"68",3456,401
"69",4154,638
"70",3282,343
"71",3668,324
"72",3712,448
"73",4144,723
"74",3182,390
"75",3570,336
"76",3607,382
"77",3928,517
"78",3262,396
"79",3552,435
"80",3272,324
"81",3386,376
"82",4343,800
"83",3265,377
"84",3312,393
"85",3124,313
"86",7024,1846
"87",3253,370
"88",6408,1462
"89",3326,378
"90",5096,1162
"91",3253,386
"92",3452,415
"93",3035,321
"94",2920,309
"95",3293,449
"96",3351,487
"97",3485,619
"98",2965,369
"99",3045,425
"100",3011,413
"101",2671,353
"102",6538,1643
"103",3120,501
"104",2988,407
"105",3155,573
"106",2752,323
"107",2541,324
"108",2908,385
"109",3652,809
"110",6005,1621
"111",3965,954
"112",7219,1926
"113",3494,700
"114",3080,507
"115",2832,610
"116",2922,419
"117",3669,552
"118",2856,352
"119",2682,472
"120",3229,692
"121",3712,502
"122",2788,445
"123",2991,421
"124",4255,998
"125",2966,458
"126",9416,2366
"127",2770,455
"128",2641,359
"129",2818,421
"130",4454,1059
"131",2717,378
"132",2799,399
"133",2492,321
"134",2713,432
"135",2580,332
"136",2588,398
"137",3178,551
"138",2364,336
"139",3013,568
"140",2851,404
"141",2714,452
"142",7348,1825
"143",3276,690
"144",2486,364
"145",2620,352
"146",2784,401
"147",2975,639
"148",2935,515
"149",2702,495
"150",2580,338
"151",2746,517
"152",2684,484
"153",3021,603
"154",2894,553
"155",2660,442
"156",2474,370
"157",3583,822
"158",2681,407
"159",2640,411
"160",2705,496
"161",2222,325
"162",2291,313
"163",2353,335
"164",2619,372
"165",2737,629
"166",2805,556
"167",2686,436
"168",2360,322
"169",2261,305
"170",2263,317
"171",2230,328
"172",2516,347
"173",3406,768
"174",9233,2270
"175",2443,401
"176",2951,710
"177",2590,486
"178",6262,1506
"179",2443,378
"180",2760,608
"181",7634,2119
"182",2536,451
"183",2731,619
"184",2609,459
"185",2562,418
"186",3645,765
"187",9429,2429
"188",2417,416
"189",2642,473
"190",3191,696
"191",2272,377
"192",2898,648
"193",2788,552
"194",2309,322
"195",2356,368
"196",3276,844
"197",2867,597
"198",3586,873
"199",2429,421
"200",2293,370
"201",2330,313
"202",2270,381
"203",2566,453
"204",6597,1546
"205",2410,344
"206",2807,583
"207",2223,327
"208",2107,319
"209",2650,464
"210",2324,425
"211",2201,326
"212",2373,460
"213",9243,2180
"214",2307,411
"215",2271,315
"216",2768,665
"217",2644,522
"218",2678,510
"219",2353,377
"220",2443,483
"221",5175,1512
"222",2363,417
"223",2153,324
"224",2514,451
"225",2073,311
"226",3171,458
"227",2863,736
"228",6789,1886
"229",2296,318
"230",2317,373
"231",2293,401
"232",2846,543
"233",2984,728
"234",2088,303
"235",2017,346
"236",3691,1161
"237",2229,315
"238",2681,599
"239",2158,365
"240",2627,457
"241",2420,409
"242",2350,360
"243",5762,1781
"244",7829,2313
"245",2548,550
"246",2127,338
"247",2162,335
"248",2126,393
"249",2631,644
"250",9836,2502
"251",2719,710
"252",2336,405
"253",2649,718
"254",2205,424
"255",2336,535
"256",2940,742
"257",7507,2337
"258",2810,742
"259",3321,835
"260",2259,387
"261",2353,564
"262",2879,773
"263",2259,393
"264",2454,453
"265",2016,322
"266",2186,391
"267",1983,304
"268",9114,2336
"269",2294,378
"270",2410,539
"271",2456,644
"272",2062,426
"273",2354,450
"274",2243,484
"275",2138,435
"276",2408,500
"277",2894,765
"278",3101,762
"279",2862,808
"280",2923,930
"281",2127,385
"282",2269,511
"283",2238,424
"284",3353,938
"285",2133,353
"286",1933,380
"287",2094,357
"288",2341,550
"289",2161,402
"290",2080,374
"291",4852,1519
"292",2297,469
"293",2056,348
"294",1983,347
"295",2235,441
"296",1919,312
"297",2058,387
"298",2030,326
"299",2642,554
"300",1984,329
"301",2447,470
"302",2325,435
"303",3831,1163
"304",2449,431
"305",2558,637
"306",2408,642
"307",3857,1208
"308",2702,661
